"play_game_id","position_backed_up"
"1900_01_TeamKJ_TeamB 24",6
"1900_05_TeamKK_TeamB 218",6
"1900_05_TeamKK_TeamB 24",6
"1901_02_TeamLG_TeamA3 227",6
"1901_03_TeamLG_TeamA3 175",6
"1901_03_TeamLG_TeamA3 259",6
"1901_07_TeamLK_TeamB 124",6
"1901_08_TeamLK_TeamB 222",4
"1901_08_TeamLK_TeamB 42",6
"1901_08_TeamLK_TeamB 60",4
"1901_10_TeamLJ_TeamB 210",6
"1901_12_TeamLJ_TeamB 258",6
"1901_12_TeamLJ_TeamB 76",4
"1901_14_TeamLL_TeamB 134",4
"1901_14_TeamLL_TeamB 65",4
"1901_14_TeamLL_TeamB 75",4
"1901_15_TeamLL_TeamB 113",6
"1901_15_TeamLL_TeamB 215",4
"1901_16_TeamLH_TeamA3 87",6
"1901_17_TeamLH_TeamA3 124",6
"1901_17_TeamLH_TeamA3 208",6
"1901_18_TeamLH_TeamA3 221",6
"1901_18_TeamLH_TeamA3 259",6
"1902_05_TeamML_TeamB 17",6
"1902_09_TeamMJ_TeamB 252",6
"1902_13_TeamMD_TeamA2 86",6
"1902_14_TeamMK_TeamB 264",6
"1902_14_TeamMK_TeamB 57",4
"1903_11_TeamNC_TeamA1 114",4
"1903_11_TeamNC_TeamA1 117",4
"1903_19_TeamNL_TeamB 25",4
"1903_22_TeamNA_TeamA1 166",4
"1903_22_TeamNA_TeamA1 248",6
"1903_29_TeamNF_TeamA2 79",4
"1903_30_TeamNB_TeamA1 179",6
