"play_game_id","position_covered","coverer_id"
"1900_05_TeamKK_TeamB 218",4,"1900_05_TeamKK_TeamB 218 4"
"1900_05_TeamKK_TeamB 56",4,"1900_05_TeamKK_TeamB 56 4"
"1900_08_TeamKL_TeamB 270",6,"1900_08_TeamKL_TeamB 270 6"
"1901_02_TeamLG_TeamA3 268",6,"1901_02_TeamLG_TeamA3 268 6"
"1901_02_TeamLG_TeamA3 282",4,"1901_02_TeamLG_TeamA3 282 4"
"1901_02_TeamLG_TeamA3 99",6,"1901_02_TeamLG_TeamA3 99 6"
"1901_05_TeamLI_TeamA3 12",6,"1901_05_TeamLI_TeamA3 12 6"
"1901_05_TeamLI_TeamA3 81",6,"1901_05_TeamLI_TeamA3 81 6"
"1901_07_TeamLK_TeamB 122",4,"1901_07_TeamLK_TeamB 122 4"
"1901_09_TeamLK_TeamB 116",4,"1901_09_TeamLK_TeamB 116 4"
"1901_09_TeamLK_TeamB 145",6,"1901_09_TeamLK_TeamB 145 6"
"1901_09_TeamLK_TeamB 258",4,"1901_09_TeamLK_TeamB 258 4"
"1901_09_TeamLK_TeamB 64",4,"1901_09_TeamLK_TeamB 64 4"
"1901_10_TeamLJ_TeamB 207",4,"1901_10_TeamLJ_TeamB 207 4"
"1901_10_TeamLJ_TeamB 81",6,"1901_10_TeamLJ_TeamB 81 6"
"1901_11_TeamLJ_TeamB 174",4,"1901_11_TeamLJ_TeamB 174 4"
"1901_11_TeamLJ_TeamB 208",6,"1901_11_TeamLJ_TeamB 208 6"
"1901_12_TeamLJ_TeamB 189",4,"1901_12_TeamLJ_TeamB 189 4"
"1901_12_TeamLJ_TeamB 258",4,"1901_12_TeamLJ_TeamB 258 4"
"1901_13_TeamLL_TeamB 104",4,"1901_13_TeamLL_TeamB 104 4"
"1901_13_TeamLL_TeamB 152",4,"1901_13_TeamLL_TeamB 152 4"
"1901_14_TeamLL_TeamB 134",6,"1901_14_TeamLL_TeamB 134 6"
"1901_14_TeamLL_TeamB 7",6,"1901_14_TeamLL_TeamB 7 6"
"1901_14_TeamLL_TeamB 75",6,"1901_14_TeamLL_TeamB 75 6"
"1901_16_TeamLH_TeamA3 100",4,"1901_16_TeamLH_TeamA3 100 4"
"1901_16_TeamLH_TeamA3 87",4,"1901_16_TeamLH_TeamA3 87 4"
"1901_17_TeamLH_TeamA3 18",4,"1901_17_TeamLH_TeamA3 18 4"
"1901_17_TeamLH_TeamA3 281",6,"1901_17_TeamLH_TeamA3 281 6"
"1901_17_TeamLH_TeamA3 34",4,"1901_17_TeamLH_TeamA3 34 4"
"1901_17_TeamLH_TeamA3 46",6,"1901_17_TeamLH_TeamA3 46 6"
"1901_18_TeamLH_TeamA3 19",4,"1901_18_TeamLH_TeamA3 19 4"
"1901_18_TeamLH_TeamA3 259",4,"1901_18_TeamLH_TeamA3 259 4"
"1902_01_TeamMG_TeamA3 74",6,"1902_01_TeamMG_TeamA3 74 6"
"1902_05_TeamML_TeamB 17",4,"1902_05_TeamML_TeamB 17 4"
"1902_08_TeamMJ_TeamB 103",6,"1902_08_TeamMJ_TeamB 103 6"
"1902_08_TeamMJ_TeamB 12",6,"1902_08_TeamMJ_TeamB 12 6"
"1902_08_TeamMJ_TeamB 169",6,"1902_08_TeamMJ_TeamB 169 6"
"1902_08_TeamMJ_TeamB 80",4,"1902_08_TeamMJ_TeamB 80 4"
"1902_09_TeamMJ_TeamB 252",4,"1902_09_TeamMJ_TeamB 252 4"
"1902_09_TeamMJ_TeamB 296",4,"1902_09_TeamMJ_TeamB 296 4"
"1902_11_TeamMI_TeamA3 25",6,"1902_11_TeamMI_TeamA3 25 6"
"1902_12_TeamMI_TeamA3 61",4,"1902_12_TeamMI_TeamA3 61 4"
"1902_13_TeamMD_TeamA2 86",4,"1902_13_TeamMD_TeamA2 86 4"
"1902_16_TeamMD_TeamA2 49",6,"1902_16_TeamMD_TeamA2 49 6"
"1902_22_TeamMA_TeamA1 117",6,"1902_22_TeamMA_TeamA1 117 6"
"1902_23_TeamMA_TeamA1 80",6,"1902_23_TeamMA_TeamA1 80 6"
"1902_24_TeamMA_TeamA1 34",4,"1902_24_TeamMA_TeamA1 34 4"
"1902_26_TeamMH_TeamA3 122",4,"1902_26_TeamMH_TeamA3 122 4"
"1902_26_TeamMH_TeamA3 135",6,"1902_26_TeamMH_TeamA3 135 6"
"1902_26_TeamMH_TeamA3 71",6,"1902_26_TeamMH_TeamA3 71 6"
"1902_28_TeamMC_TeamA1 147",6,"1902_28_TeamMC_TeamA1 147 6"
"1902_31_TeamMF_TeamA2 101",4,"1902_31_TeamMF_TeamA2 101 4"
"1903_01_TeamNE_TeamA2 259",4,"1903_01_TeamNE_TeamA2 259 4"
"1903_01_TeamNE_TeamA2 284",4,"1903_01_TeamNE_TeamA2 284 4"
"1903_01_TeamNE_TeamA2 301",6,"1903_01_TeamNE_TeamA2 301 6"
"1903_05_TeamND_TeamA2 114",6,"1903_05_TeamND_TeamA2 114 6"
"1903_05_TeamND_TeamA2 78",6,"1903_05_TeamND_TeamA2 78 6"
"1903_06_TeamND_TeamA2 141",4,"1903_06_TeamND_TeamA2 141 4"
"1903_07_TeamND_TeamA2 101",6,"1903_07_TeamND_TeamA2 101 6"
"1903_07_TeamND_TeamA2 57",4,"1903_07_TeamND_TeamA2 57 4"
"1903_09_TeamNJ_TeamB 209",6,"1903_09_TeamNJ_TeamB 209 6"
"1903_11_TeamNC_TeamA1 114",6,"1903_11_TeamNC_TeamA1 114 6"
"1903_11_TeamNC_TeamA1 117",6,"1903_11_TeamNC_TeamA1 117 6"
"1903_12_TeamNC_TeamA1 178",4,"1903_12_TeamNC_TeamA1 178 4"
"1903_13_TeamNG_TeamA3 215",6,"1903_13_TeamNG_TeamA3 215 6"
"1903_14_TeamNG_TeamA3 106",6,"1903_14_TeamNG_TeamA3 106 6"
"1903_19_TeamNL_TeamB 25",6,"1903_19_TeamNL_TeamB 25 6"
"1903_19_TeamNL_TeamB 41",6,"1903_19_TeamNL_TeamB 41 6"
"1903_20_TeamNL_TeamB 232",6,"1903_20_TeamNL_TeamB 232 6"
"1903_22_TeamNA_TeamA1 166",6,"1903_22_TeamNA_TeamA1 166 6"
"1903_22_TeamNA_TeamA1 187",4,"1903_22_TeamNA_TeamA1 187 4"
"1903_22_TeamNA_TeamA1 248",4,"1903_22_TeamNA_TeamA1 248 4"
"1903_22_TeamNA_TeamA1 64",4,"1903_22_TeamNA_TeamA1 64 4"
"1903_23_TeamNA_TeamA1 137",4,"1903_23_TeamNA_TeamA1 137 4"
"1903_25_TeamNK_TeamB 114",4,"1903_25_TeamNK_TeamB 114 4"
"1903_25_TeamNK_TeamB 60",6,"1903_25_TeamNK_TeamB 60 6"
"1903_29_TeamNF_TeamA2 122",6,"1903_29_TeamNF_TeamA2 122 6"
"1903_29_TeamNF_TeamA2 20",4,"1903_29_TeamNF_TeamA2 20 4"
"1903_29_TeamNF_TeamA2 79",6,"1903_29_TeamNF_TeamA2 79 6"
"1903_30_TeamNB_TeamA1 179",4,"1903_30_TeamNB_TeamA1 179 4"
"1903_30_TeamNF_TeamA2 195",6,"1903_30_TeamNF_TeamA2 195 6"
"1903_30_TeamNF_TeamA2 77",4,"1903_30_TeamNF_TeamA2 77 4"
"1903_30_TeamNF_TeamA2 96",4,"1903_30_TeamNF_TeamA2 96 4"
"1903_31_TeamNB_TeamA1 25",6,"1903_31_TeamNB_TeamA1 25 6"
